temperature, X, Y, Z
85.00,-4.00,-0.71,-7.14
temperature, X, Y, Z
85.00,-2.24,-0.71,-8.59
temperature, X, Y, Z
85.00,-3.49,0.04,-7.69
temperature, X, Y, Z
85.00,-0.98,-1.41,-8.87
temperature, X, Y, Z
85.00,-4.79,-1.02,-8.24
temperature, X, Y, Z
85.00,-1.37,-0.63,-8.59
temperature, X, Y, Z
85.00,-3.80,-1.96,-8.71
temperature, X, Y, Z
85.00,-2.08,-1.06,-8.71
temperature, X, Y, Z
85.00,-4.20,-0.94,-6.75
temperature, X, Y, Z
85.00,-2.24,-2.90,-9.26
temperature, X, Y, Z
85.00,-1.80,-1.10,-8.36
temperature, X, Y, Z
85.00,-2.59,-0.67,-9.02
temperature, X, Y, Z
85.00,-3.53,-0.39,-7.61
temperature, X, Y, Z
85.00,-2.39,-1.57,-8.67
temperature, X, Y, Z
85.00,-3.30,-1.10,-9.38
temperature, X, Y, Z
85.00,-2.12,-0.98,-8.43
temperature, X, Y, Z
85.00,-3.61,-1.06,-8.75
temperature, X, Y, Z
85.00,-2.55,-0.39,-9.38
temperature, X, Y, Z
85.00,-0.75,0.00,-8.75
temperature, X, Y, Z
85.00,-3.10,-1.80,-8.08
temperature, X, Y, Z
85.00,-1.14,-1.33,-8.55
temperature, X, Y, Z
85.00,-3.61,-1.73,-8.39
temperature, X, Y, Z
85.00,-3.06,-1.77,-6.28
temperature, X, Y, Z
85.00,-4.04,-1.65,-7.53
temperature, X, Y, Z
85.00,0.86,0.08,-9.30
temperature, X, Y, Z
85.00,-2.31,-0.12,-7.14
temperature, X, Y, Z
85.00,-2.43,-0.31,-8.59
temperature, X, Y, Z
85.00,-4.16,-0.08,-8.47
temperature, X, Y, Z
85.00,-0.43,-1.29,-9.26
temperature, X, Y, Z
85.00,-2.67,-0.24,-8.90
temperature, X, Y, Z
85.00,-4.90,-1.26,-6.90
temperature, X, Y, Z
85.00,-0.67,-0.12,-9.57
temperature, X, Y, Z
85.00,-4.04,-1.53,-9.96
temperature, X, Y, Z
85.00,-1.53,-1.22,-10.67
temperature, X, Y, Z
85.00,-1.69,-0.75,-8.12
temperature, X, Y, Z
85.00,-0.82,0.00,-7.49
temperature, X, Y, Z
85.00,-2.82,-1.14,-7.37
temperature, X, Y, Z
85.00,-2.67,-0.55,-7.92
temperature, X, Y, Z
85.00,-3.45,-1.69,-8.12
temperature, X, Y, Z
85.00,-2.75,-0.08,-7.49
temperature, X, Y, Z
85.00,-1.96,-0.16,-7.77
temperature, X, Y, Z
85.00,-0.94,-1.33,-9.38
temperature, X, Y, Z
85.00,-1.61,-0.31,-8.51
temperature, X, Y, Z
85.00,-1.49,-0.94,-8.16
temperature, X, Y, Z
85.00,-2.94,-1.77,-7.65
temperature, X, Y, Z
85.00,-0.98,-0.35,-8.90
temperature, X, Y, Z
85.00,-2.12,-1.77,-8.98
temperature, X, Y, Z
85.00,-2.55,-0.78,-8.79
temperature, X, Y, Z
85.00,-2.79,-0.63,-7.65
temperature, X, Y, Z
85.00,-2.86,-1.10,-7.81
temperature, X, Y, Z
85.00,-3.80,-0.59,-7.92
temperature, X, Y, Z
85.00,-3.65,-1.29,-8.12
temperature, X, Y, Z
85.00,-2.63,-1.65,-9.96
temperature, X, Y, Z
85.00,-2.31,-1.29,-7.81
temperature, X, Y, Z
85.00,-1.69,-0.35,-8.90
temperature, X, Y, Z
85.00,-2.63,0.00,-9.96
temperature, X, Y, Z
85.00,-2.79,-0.27,-8.67
temperature, X, Y, Z
85.00,-2.55,-1.18,-8.90
temperature, X, Y, Z
85.00,-3.33,-1.29,-6.59
temperature, X, Y, Z
85.00,-1.61,-0.86,-9.06
temperature, X, Y, Z
85.00,-3.61,-0.78,-8.28
temperature, X, Y, Z
85.00,-3.37,-1.14,-8.71
temperature, X, Y, Z
85.00,-3.73,-1.37,-6.90
temperature, X, Y, Z
85.00,-3.45,-1.65,-9.10
temperature, X, Y, Z
85.00,-1.65,-1.49,-9.02
temperature, X, Y, Z
85.00,-0.90,-1.49,-7.53
temperature, X, Y, Z
85.00,-3.61,-0.67,-6.90
temperature, X, Y, Z
85.00,-1.29,-1.18,-9.18
temperature, X, Y, Z
85.00,-4.12,-2.75,-8.16
temperature, X, Y, Z
85.00,-2.31,-1.65,-6.75
temperature, X, Y, Z
85.00,-4.39,-0.16,-6.86
temperature, X, Y, Z
85.00,-3.88,-1.33,-7.77
temperature, X, Y, Z
85.00,-0.82,-1.41,-8.00
temperature, X, Y, Z
85.00,-2.08,-1.02,-9.73
temperature, X, Y, Z
85.00,-1.65,-0.47,-8.63
temperature, X, Y, Z
85.00,-0.86,-1.33,-9.57
temperature, X, Y, Z
85.00,-3.26,-2.31,-7.10
temperature, X, Y, Z
85.00,-1.26,0.35,-8.83
temperature, X, Y, Z
85.00,-2.98,-1.84,-8.24
temperature, X, Y, Z
85.00,-1.61,-1.80,-8.32
temperature, X, Y, Z
85.00,-3.26,-0.82,-8.00
temperature, X, Y, Z
85.00,-3.61,-1.53,-7.81
temperature, X, Y, Z
85.00,-2.51,-0.98,-7.14
temperature, X, Y, Z
85.00,-0.98,-0.04,-8.98
temperature, X, Y, Z
85.00,-0.86,-2.55,-10.16
temperature, X, Y, Z
85.00,-1.65,-1.65,-7.57
temperature, X, Y, Z
85.00,-2.47,-0.12,-8.71
temperature, X, Y, Z
85.00,-4.28,-0.20,-8.43
temperature, X, Y, Z
85.00,-2.55,-0.63,-6.98
temperature, X, Y, Z
85.00,-1.14,-0.47,-7.85
temperature, X, Y, Z
85.00,-2.35,-1.02,-7.92
temperature, X, Y, Z
85.00,-4.16,0.00,-8.75
temperature, X, Y, Z
85.00,-2.67,-0.31,-7.57
temperature, X, Y, Z
85.00,0.78,-1.29,-9.65
temperature, X, Y, Z
85.00,-0.51,-1.14,-7.61
temperature, X, Y, Z
85.00,-2.51,-1.77,-8.90
temperature, X, Y, Z
85.00,1.69,-2.63,-9.18
temperature, X, Y, Z
85.00,1.49,-2.43,-7.14
temperature, X, Y, Z
85.00,-1.80,-1.73,-8.39
temperature, X, Y, Z
85.00,-2.31,0.12,-9.38
temperature, X, Y, Z
85.00,-2.16,-1.22,-8.16
temperature, X, Y, Z
85.00,-3.06,0.75,-8.08
temperature, X, Y, Z
85.00,-3.06,0.75,-8.16
temperature, X, Y, Z
85.00,0.08,8.94,4.82
temperature, X, Y, Z
85.00,-0.20,11.92,5.10
temperature, X, Y, Z
85.00,-1.10,9.61,2.75
temperature, X, Y, Z
85.00,-1.53,7.77,2.08
temperature, X, Y, Z
85.00,0.20,6.20,3.02
temperature, X, Y, Z
85.00,1.26,7.57,3.41
temperature, X, Y, Z
85.00,-0.55,8.51,1.73
temperature, X, Y, Z
85.00,0.16,13.22,3.06
temperature, X, Y, Z
85.00,-1.84,11.34,1.80
temperature, X, Y, Z
85.00,-0.39,12.24,4.47
temperature, X, Y, Z
85.00,-0.94,7.49,2.16
temperature, X, Y, Z
85.00,-1.37,9.49,4.31
temperature, X, Y, Z
85.00,-1.45,10.20,4.12
temperature, X, Y, Z
85.00,3.37,10.20,5.69
temperature, X, Y, Z
85.00,-1.06,0.27,11.30
temperature, X, Y, Z
85.00,-1.06,0.27,11.22
temperature, X, Y, Z
85.00,-1.02,0.27,11.22
temperature, X, Y, Z
85.00,-1.06,0.31,11.18
temperature, X, Y, Z
85.00,-0.82,0.27,11.38
temperature, X, Y, Z
85.00,-9.49,-0.12,-3.18
temperature, X, Y, Z
85.00,-8.20,4.79,-2.59
temperature, X, Y, Z
85.00,-2.00,8.39,-2.63
temperature, X, Y, Z
85.00,3.10,9.18,-1.84
temperature, X, Y, Z
85.00,4.79,8.39,-1.84
temperature, X, Y, Z
85.00,0.04,8.90,-2.63
temperature, X, Y, Z
85.00,1.26,10.12,2.55
